kind,T,P,x1,y1
bubble,373,146.25322997416015,0.24063265271655607,
bubble,373,201.16279069767438,0.3481093040144569,
bubble,373,249.61240310077517,0.44378747192244694,
bubble,373,288.37209302325584,0.5537940585364206,
bubble,373,296.7700258397933,0.6061255509955921,
bubble,373,146.89922480620152,0.2380216513823445,
bubble,373,179.19896640826872,0.2996284474168652,
bubble,373,218.60465116279067,0.38088024184695424,
bubble,373,234.1085271317829,0.4123338568847006,
bubble,373,246.38242894056845,0.44377058316866813,
bubble,373,260.594315245478,0.4686814949924847,
bubble,373,276.09819121447026,0.5105926263701003,
bubble,373,284.4961240310077 ,0.5433162756920168,
bubble,373,294.18604651162786,0.5799682491428959,
bubble,373,296.7700258397933 ,0.6061255509955921,
bubble,373,299.3540051679586 ,0.6375116110182231,
bubble,373,302.58397932816536,0.6675938592491261,
dew,373,294.18604651162786,,0.8126479877049873
dew,373,282.5581395348837,,0.8348094104136057
dew,373,261.88630490956075,,0.8634594923240616
dew,373,250.90439276485776,,0.8803955346135007
dew,373,227.0025839793281 ,,0.901185590515276
dew,373,194.05684754521965,,0.914085220651568
dew,373,179.19896640826866,,0.9205434800966036
critical,373,307.10497186606403,0.7034129692832767,0.7034129692832767